Data,Count,NumeroPostingType,NomePostingType,CompanyId
2018-01-05,31,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-01-05,19,83,PurchOffsetAccountPckSlp,IT01
2018-01-05,16,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-05,16,236,PurchExpense,IT01
2018-01-06,53,4,Tax,IT01
2018-01-06,113,14,LedgerJournal,IT01
2018-01-06,40,41,VendBalance,IT01
2018-01-06,3,83,PurchOffsetAccountPckSlp,IT01
2018-01-06,2,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-06,3,236,PurchExpense,IT01
2018-01-07,15,14,LedgerJournal,IT01
2018-01-09,22,14,LedgerJournal,it01
2018-01-09,6,83,PurchOffsetAccountPckSlp,IT01
2018-01-09,13,161,FixedAssetsDebit,it01
2018-01-09,1196,162,FixedAssetsCredit,it01
2018-01-09,6,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-10,13,4,Tax,IT01
2018-01-10,32,14,LedgerJournal,IT01
2018-01-10,7,31,CustBalance,IT01
2018-01-10,6,41,VendBalance,IT01
2018-01-10,150,48,VendSettlement,IT01
2018-01-10,7,51,SalesRevenue,IT01
2018-01-10,10,64,SalesPckSlipRevenue,IT01
2018-01-10,10,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-01-11,6,4,Tax,IT01
2018-01-11,166,14,LedgerJournal,IT01
2018-01-11,9,31,CustBalance,IT01
2018-01-11,83,41,VendBalance,IT01
2018-01-11,2118,48,VendSettlement,IT01
2018-01-11,9,51,SalesRevenue,IT01
2018-01-11,11,64,SalesPckSlipRevenue,IT01
2018-01-11,11,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-01-11,22,83,PurchOffsetAccountPckSlp,IT01
2018-01-11,22,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-12,2,4,Tax,IT01
2018-01-12,1,14,LedgerJournal,IT01
2018-01-12,25,20,Bank,IT01
2018-01-12,6,31,CustBalance,IT01
2018-01-12,1,41,VendBalance,IT01
2018-01-12,1606,48,VendSettlement,IT01
2018-01-12,6,51,SalesRevenue,IT01
2018-01-12,9,64,SalesPckSlipRevenue,IT01
2018-01-12,9,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-01-12,14,83,PurchOffsetAccountPckSlp,IT01
2018-01-12,14,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-12,25,249,BankStatement,IT01
2018-01-13,514,48,VendSettlement,IT01
2018-01-14,30,41,VendBalance,IT01
2018-01-14,906,48,VendSettlement,IT01
2018-01-15,1,4,Tax,IT01
2018-01-15,39,14,LedgerJournal,IT01
2018-01-15,30,20,Bank,IT01
2018-01-15,62,31,CustBalance,IT01
2018-01-15,5,41,VendBalance,IT01
2018-01-15,1,51,SalesRevenue,IT01
2018-01-15,3,64,SalesPckSlipRevenue,IT01
2018-01-15,3,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-01-15,5,83,PurchOffsetAccountPckSlp,IT01
2018-01-15,5,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-15,30,249,BankStatement,IT01
2018-01-16,5,4,Tax,IT01
2018-01-16,27,14,LedgerJournal,IT01
2018-01-16,30,20,Bank,IT01
2018-01-16,10,31,CustBalance,IT01
2018-01-16,648,40,CustSettlement,IT01
2018-01-16,1,41,VendBalance,IT01
2018-01-16,6,51,SalesRevenue,IT01
2018-01-16,10,64,SalesPckSlipRevenue,IT01
2018-01-16,10,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-01-16,30,249,BankStatement,IT01
2018-01-17,6,4,Tax,it01
2018-01-17,53,14,LedgerJournal,IT01
2018-01-17,36,20,Bank,IT01
2018-01-17,7,23,TaxWithhold,IT01
2018-01-17,18,31,CustBalance,IT01
2018-01-17,946,40,CustSettlement,IT01
2018-01-17,34,41,VendBalance,IT01
2018-01-17,16,48,VendSettlement,IT01
2018-01-17,5,51,SalesRevenue,IT01
2018-01-17,9,64,SalesPckSlipRevenue,IT01
2018-01-17,9,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-01-17,3,83,PurchOffsetAccountPckSlp,IT01
2018-01-17,3,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-17,28,249,BankStatement,IT01
2018-01-18,48,4,Tax,IT01
2018-01-18,65,14,LedgerJournal,IT01
2018-01-18,56,20,Bank,IT01
2018-01-18,5,31,CustBalance,IT01
2018-01-18,452,40,CustSettlement,IT01
2018-01-18,102,41,VendBalance,IT01
2018-01-18,170,48,VendSettlement,IT01
2018-01-18,5,51,SalesRevenue,IT01
2018-01-18,11,64,SalesPckSlipRevenue,IT01
2018-01-18,11,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-01-18,4,83,PurchOffsetAccountPckSlp,IT01
2018-01-18,4,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-18,2,236,PurchExpense,IT01
2018-01-18,2,249,BankStatement,IT01
2018-01-19,49,14,LedgerJournal,IT01
2018-01-19,9,20,Bank,IT01
2018-01-19,3,31,CustBalance,IT01
2018-01-19,90,40,CustSettlement,IT01
2018-01-19,17,41,VendBalance,IT01
2018-01-19,78,48,VendSettlement,IT01
2018-01-19,1,51,SalesRevenue,IT01
2018-01-19,2,64,SalesPckSlipRevenue,IT01
2018-01-19,2,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-01-19,7,83,PurchOffsetAccountPckSlp,IT01
2018-01-19,7,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-19,9,249,BankStatement,IT01
2018-01-20,8,14,LedgerJournal,IT01
2018-01-22,2,4,Tax,IT01
2018-01-22,2,14,LedgerJournal,IT01
2018-01-22,8,40,CustSettlement,IT01
2018-01-22,2,41,VendBalance,IT01
2018-01-22,20,83,PurchOffsetAccountPckSlp,IT01
2018-01-22,20,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-23,23,4,Tax,IT01
2018-01-23,17,14,LedgerJournal,IT01
2018-01-23,13,20,Bank,IT01
2018-01-23,10,31,CustBalance,IT01
2018-01-23,1,41,VendBalance,IT01
2018-01-23,10,51,SalesRevenue,IT01
2018-01-23,20,64,SalesPckSlipRevenue,IT01
2018-01-23,19,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-01-23,4,83,PurchOffsetAccountPckSlp,IT01
2018-01-23,4,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-23,13,249,BankStatement,IT01
2018-01-24,35,4,Tax,IT01
2018-01-24,10,14,LedgerJournal,IT01
2018-01-24,10,20,Bank,IT01
2018-01-24,9,31,CustBalance,IT01
2018-01-24,29,41,VendBalance,IT01
2018-01-24,3,51,SalesRevenue,IT01
2018-01-24,6,64,SalesPckSlipRevenue,IT01
2018-01-24,6,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-01-24,47,83,PurchOffsetAccountPckSlp,IT01
2018-01-24,1,161,FixedAssetsDebit,IT01
2018-01-24,1,162,FixedAssetsCredit,IT01
2018-01-24,38,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-24,38,236,PurchExpense,IT01
2018-01-24,10,249,BankStatement,IT01
2018-01-25,36,4,Tax,IT01
2018-01-25,174,14,LedgerJournal,IT01
2018-01-25,6,20,Bank,IT01
2018-01-25,39,31,CustBalance,IT01
2018-01-25,33,41,VendBalance,IT01
2018-01-25,11,51,SalesRevenue,IT01
2018-01-25,23,64,SalesPckSlipRevenue,IT01
2018-01-25,23,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-01-25,11,83,PurchOffsetAccountPckSlp,IT01
2018-01-25,8,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-25,10,236,PurchExpense,IT01
2018-01-25,6,249,BankStatement,IT01
2018-01-26,75,4,Tax,IT01
2018-01-26,115,14,LedgerJournal,IT01
2018-01-26,8,20,Bank,IT01
2018-01-26,20,31,CustBalance,IT01
2018-01-26,32,40,CustSettlement,IT01
2018-01-26,46,41,VendBalance,IT01
2018-01-26,32,48,VendSettlement,IT01
2018-01-26,11,51,SalesRevenue,IT01
2018-01-26,21,64,SalesPckSlipRevenue,IT01
2018-01-26,21,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-01-26,9,83,PurchOffsetAccountPckSlp,IT01
2018-01-26,6,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-01-26,9,236,PurchExpense,IT01
2018-01-26,8,249,BankStatement,IT01
2018-01-27,86,14,LedgerJournal,IT01
2018-01-28,96,14,LedgerJournal,IT01
2018-01-28,7,41,VendBalance,IT01
2018-01-29,8,4,Tax,IT01
