timestamp,item_id,target
2020-03-19,FR13,848
2020-03-19,GB02,211
2020-03-19,IT01,270
2020-03-19,PL01,201
2020-03-19,RO01,319
2020-03-20,FR13,523
2020-03-20,GB02,37
2020-03-20,IT01,299
2020-03-20,PL01,26
2020-03-20,RO01,99
2020-03-21,FR13,0
2020-03-21,GB02,0
2020-03-21,IT01,2
2020-03-21,PL01,0
2020-03-21,RO01,0
2020-03-22,FR13,101
2020-03-22,GB02,341
2020-03-22,IT01,84
2020-03-22,PL01,0
2020-03-22,RO01,0
2020-03-23,FR13,657
2020-03-23,GB02,222
2020-03-23,IT01,204
2020-03-23,PL01,181
2020-03-23,RO01,70
2020-03-24,FR13,525
2020-03-24,GB02,1125
2020-03-24,IT01,159
2020-03-24,PL01,161
2020-03-24,RO01,97
2020-03-25,FR13,281
2020-03-25,GB02,4180
2020-03-25,IT01,267
2020-03-25,PL01,14
2020-03-25,RO01,33
2020-03-26,FR13,24958
2020-03-26,GB02,468
2020-03-26,IT01,434
2020-03-26,PL01,50
2020-03-26,RO01,3750
2020-03-27,FR13,564
2020-03-27,GB02,3
2020-03-27,IT01,288
2020-03-27,PL01,206
2020-03-27,RO01,463
2020-03-28,FR13,76
2020-03-28,GB02,0
2020-03-28,IT01,46
2020-03-28,PL01,0
2020-03-28,RO01,0
2020-03-29,FR13,64
2020-03-29,GB02,0
2020-03-29,IT01,0
2020-03-29,PL01,0
2020-03-29,RO01,0
2020-03-30,FR13,20855
2020-03-30,GB02,938
2020-03-30,IT01,116
2020-03-30,PL01,86
2020-03-30,RO01,64
2020-03-31,FR13,4055
2020-03-31,GB02,608
2020-03-31,IT01,458
2020-03-31,PL01,1058
2020-03-31,RO01,201
2020-04-01,FR13,1494
2020-04-01,GB02,577
2020-04-01,IT01,1135
2020-04-01,PL01,37504
2020-04-01,RO01,230
2020-04-02,FR13,1159
2020-04-02,GB02,14928
2020-04-02,IT01,231
2020-04-02,PL01,187
2020-04-02,RO01,119
2020-04-03,FR13,1183
2020-04-03,GB02,2704
2020-04-03,IT01,1879
2020-04-03,PL01,2323
2020-04-03,RO01,96
2020-04-04,FR13,66
2020-04-04,GB02,6669
2020-04-04,IT01,178
2020-04-04,PL01,2
2020-04-04,RO01,31
2020-04-05,FR13,26
2020-04-05,GB02,416
2020-04-05,IT01,89
2020-04-05,PL01,156
2020-04-05,RO01,42
